"","temperature","luminosity","radius","magnitude","type","color","spectral_class"
"1",3068,0.0024,0.17,16.12,"Brown Dwarf","Red","M"
"2",3042,5e-04,0.1542,16.6,"Brown Dwarf","Red","M"
"3",2600,3e-04,0.102,18.7,"Brown Dwarf","Red","M"
"4",2800,2e-04,0.16,16.65,"Brown Dwarf","Red","M"
"5",1939,0.000138,0.103,20.06,"Brown Dwarf","Red","M"
"6",2840,0.00065,0.11,16.98,"Brown Dwarf","Red","M"
"7",2637,0.00073,0.127,17.22,"Brown Dwarf","Red","M"
"8",2600,4e-04,0.096,17.4,"Brown Dwarf","Red","M"
"9",2650,0.00069,0.11,17.45,"Brown Dwarf","Red","M"
"10",2700,0.00018,0.13,16.05,"Brown Dwarf","Red","M"
"11",3600,0.0029,0.51,10.69,"Red Dwarf","Red","M"
"12",3129,0.0122,0.3761,11.79,"Red Dwarf","Red","M"
"13",3134,4e-04,0.196,13.21,"Red Dwarf","Red","M"
"14",3628,0.0055,0.393,10.48,"Red Dwarf","Red","M"
"15",2650,6e-04,0.14,11.782,"Red Dwarf","Red","M"
"16",3340,0.0038,0.24,13.07,"Red Dwarf","Red","M"
"17",2799,0.0018,0.16,14.79,"Red Dwarf","Red","M"
"18",3692,0.00367,0.47,10.8,"Red Dwarf","Red","M"
"19",3192,0.00362,0.1967,13.53,"Red Dwarf","Red","M"
"20",3441,0.039,0.351,11.18,"Red Dwarf","Red","M"
"21",25000,0.056,0.0084,10.58,"White Dwarf","Blue-White","B"
"22",7740,0.00049,0.01234,14.02,"White Dwarf","White","A"
"23",7220,0.00017,0.011,14.23,"White Dwarf","White","F"
"24",8500,5e-04,0.01,14.5,"White Dwarf","White","A"
"25",16500,0.013,0.014,11.89,"White Dwarf","Blue-White","B"
"26",12990,8.5e-05,0.00984,12.23,"White Dwarf","White-Yellow","F"
"27",8570,0.00081,0.0097,14.2,"White Dwarf","Blue-White","A"
"28",7700,0.00011,0.0128,14.47,"White Dwarf","White-Yellow","F"
"29",11790,0.00015,0.011,12.59,"White Dwarf","White-Yellow","F"
"30",7230,8e-05,0.013,14.08,"White Dwarf","Yellow-Orange","F"
"31",39000,204000,10.6,-4.7,"Main Sequence","Blue","O"
"32",30000,28840,6.3,-4.2,"Main Sequence","Blue-White","B"
"33",15276,1136,7.2,-1.97,"Main Sequence","Blue-White","B"
"34",9700,74,2.89,0.16,"Main Sequence","Whitish","B"
"35",5800,0.81,0.9,5.05,"Main Sequence","White-Yellow","F"
"36",8052,8.7,1.8,2.42,"Main Sequence","Whitish","A"
"37",6757,1.43,1.12,2.41,"Main Sequence","White-Yellow","F"
"38",6380,1.35,0.98,2.93,"Main Sequence","White-Yellow","F"
"39",5936,1.357,1.106,4.46,"Main Sequence","White-Yellow","F"
"40",5587,0.819,0.99,5.03,"Main Sequence","White-Yellow","F"
"41",3826,2e+05,19,-6.93,"Supergiant","Red","M"
"42",3365,340000,23,-6.2,"Supergiant","Red","M"
"43",3270,150000,88,-6.02,"Supergiant","Red","M"
"44",3200,195000,17,-7.22,"Supergiant","Red","M"
"45",3008,280000,25,-6,"Supergiant","Red","M"
"46",3600,320000,29,-6.6,"Supergiant","Red","M"
"47",3575,123000,45,-6.78,"Supergiant","Red","M"
"48",3574,2e+05,89,-5.24,"Supergiant","Red","M"
"49",3625,184000,84,-6.74,"Supergiant","Red","M"
"50",33750,220000,26,-6.1,"Supergiant","Blue","B"
"51",3490,270000,1520,-9.4,"Hypergiant","Red","M"
"52",3750,283000,1260,-7.63,"Hypergiant","Red","M"
"53",3834,272000,1183,-9.2,"Hypergiant","Red","M"
"54",3749,550000,1648,-8.05,"Hypergiant","Orange","M"
"55",3650,310000,1324,-7.79,"Hypergiant","Red","M"
"56",3450,263000,1349,-11.75,"Hypergiant","Red","M"
"57",3660,363000,1673,-11.92,"Hypergiant","Red","M"
"58",3450,174000,1284,-11.28,"Hypergiant","Red","M"
"59",3752,209000,955,-11.24,"Hypergiant","Red","M"
"60",3535,195000,1546,-11.36,"Hypergiant","Red","M"
"61",3341,0.0056,0.057,16.23,"Brown Dwarf","Red","M"
"62",3432,0.00067,0.19,16.94,"Brown Dwarf","Red","M"
"63",2983,0.00024,0.094,16.09,"Brown Dwarf","Red","M"
"64",2835,0.00034,0.0918,16.96,"Brown Dwarf","Red","M"
"65",2935,0.00014,0.116,18.89,"Brown Dwarf","Red","M"
"66",3295,0.00098,0.132,17.13,"Brown Dwarf","Red","M"
"67",2945,0.00032,0.093,18.34,"Brown Dwarf","Red","M"
"68",2817,0.00098,0.0911,16.45,"Brown Dwarf","Red","M"
"69",2774,0.00036,0.118,17.39,"Brown Dwarf","Red","M"
"70",2871,0.00072,0.12,19.43,"Brown Dwarf","Red","M"
"71",3345,0.021,0.273,12.3,"Red Dwarf","Red","M"
"72",3607,0.022,0.38,10.12,"Red Dwarf","Red","M"
"73",3304,0.0085,0.18,13.2,"Red Dwarf","Red","M"
"74",3150,0.0088,0.35,11.94,"Red Dwarf","Red","M"
"75",3550,0.004,0.291,10.89,"Red Dwarf","Red","M"
"76",3180,0.001,0.35,11.76,"Red Dwarf","Red","M"
"77",2890,0.0034,0.24,13.46,"Red Dwarf","Red","M"
"78",3342,0.0015,0.307,11.87,"Red Dwarf","Red","M"
"79",2621,6e-04,0.098,12.81,"Red Dwarf","Red","M"
"80",3158,0.00135,0.161,13.98,"Red Dwarf","Red","M"
"81",7100,0.00029,0.012,14.09,"White Dwarf","White-Yellow","F"
"82",10574,0.00014,0.0092,12.02,"White Dwarf","White","F"
"83",8930,0.00056,0.0095,13.78,"White Dwarf","White","A"
"84",17200,0.00098,0.015,12.45,"White Dwarf","Blue-White","B"
"85",14100,0.00067,0.0089,12.17,"White Dwarf","Blue-White","B"
"86",9675,0.00045,0.0109,13.98,"White Dwarf","Blue-White","A"
"87",12010,0.00078,0.0092,12.13,"White Dwarf","Blue-White","B"
"88",10980,0.00074,0.0087,11.19,"White Dwarf","Blue-White","B"
"89",13720,0.00018,0.00892,12.97,"White Dwarf","White","F"
"90",19860,0.0011,0.0131,11.34,"White Dwarf","Blue","B"
"91",5300,0.59,0.91,5.49,"Main Sequence","White-Yellow","F"
"92",4526,0.153,0.865,6.506,"Main Sequence","Yellowish","K"
"93",4077,0.085,0.795,6.228,"Main Sequence","Yellowish","K"
"94",4980,0.357,1.13,4.78,"Main Sequence","Yellowish","K"
"95",9030,45,2.63,1.45,"Main Sequence","Blue-White","A"
"96",11250,672,6.98,-2.3,"Main Sequence","Blue-White","A"
